Feature importance (gain) for ZEC/USDT
==================================================
efficiency_ratio_10                 : 80.720169
linreg_r2_14                        : 22.778715
atr_band_position                   : 15.423999
market_phase                        : 14.910439
trend_regime                        : 12.315146
r1                                  : 11.973819
volatility_regime                   : 11.813511
starc_position                      : 11.223593
keltner_upper                       : 10.358025
vwap                                : 10.092201
ichimoku_tenkan                     : 9.463943
adx_14                              : 8.298013
ichimoku_senkou_a                   : 8.060763
pvt                                 : 7.900035
atr_14                              : 7.560546
vwap_decay_mean_24                  : 7.516988
supertrend                          : 7.468434
fib_range_pct                       : 7.154450
close_decay_std_24                  : 6.950035
ichimoku_senkou_b                   : 6.918622
weekly_macd_hist                    : 6.868540
bb_width_percentile                 : 6.863207
dist_r2                             : 6.695751
schaff_tc                           : 6.582703
rolling_volatility                  : 6.267596
vwap_decay_std_24                   : 6.140085
fib_dist_618                        : 5.978797
price_zscore_200                    : 5.965517
volume_decay_std_24                 : 5.940649
dist_avwap_200                      : 5.692004
