Feature importance (gain) for ZEN/USDT
==================================================
efficiency_ratio_10                 : 63.146896
linreg_r2_14                        : 9.563982
market_phase                        : 7.310158
volatility_regime                   : 6.763171
atr_band_position                   : 6.676870
trend_regime                        : 5.756284
starc_position                      : 4.439618
pvt                                 : 4.329370
weekly_macd_signal                  : 4.153325
adx_14                              : 3.860689
weekly_rsi                          : 3.799439
fib_range_pct                       : 3.766866
low                                 : 3.766248
vwap                                : 3.672906
s1                                  : 3.638393
dow_cos                             : 3.433282
cmf_20                              : 3.397309
close                               : 3.394321
s2                                  : 3.384649
close_decay_std_24                  : 3.361954
weekly_ema200                       : 3.260687
kvo_signal                          : 3.258371
returns_1h_decay_std_24             : 3.212191
dist_bull_ob                        : 3.211367
dist_avwap_50                       : 3.206467
volume_decay_std_24                 : 3.199814
donchian_width                      : 3.174685
vwap_decay_mean_24                  : 3.161682
vwap_delta_12                       : 3.061642
dist_vwap                           : 3.026192
