Feature importance (gain) for ZK/USDT
==================================================
prc_total                           : 96.671707
macro_confluence_score              : 66.208565
efficiency_ratio_10                 : 21.681124
prc_trend                           : 16.215288
prc_momentum                        : 14.829196
prc_bands                           : 8.961434
atr_band_position                   : 6.856631
pct_dist_to_resistance              : 6.614222
williams_r                          : 6.432770
dist_ema_50                         : 6.324995
sar_dist                            : 6.098697
trend_confluence                    : 5.962687
supertrend_dist                     : 5.844415
fib_range_pct                       : 5.804679
rolling_volatility                  : 5.792560
keltner_width                       : 5.781643
dist_s1                             : 5.774971
funding_rate_zscore                 : 5.617356
dist_avwap_200                      : 5.568510
dist_bull_ob                        : 5.551055
linreg_r2_14                        : 5.549102
btc_ratio_ma_dist                   : 5.409271
volatility_skew                     : 5.391998
dist_r2                             : 5.353967
dow_sin                             : 5.346664
total_confluence                    : 5.314619
aroon_osc                           : 5.286495
pvt                                 : 5.280571
se_position                         : 5.237003
quantile_position                   : 5.212690
