symbol,bar_index,timestamp,direction,meta_conf,edge_score,thr,price,atr,regime_str,reg_buy_ok,reg_sell_ok,reg_skipped,at_res,at_sup,trend_1d,total_conf,choppiness,bos,ev,ev_floor,prior_frac,rev_frac,rsi_val,rsi_slope,rsi_accel,bars_since_exit,atr_pct,blocked_at,block_reason,trade_exit_bar,trade_exit_price,trade_pnl,trade_outcome
SOL/USDT,6,2026-03-10 03:00:00,short,0.66324,82.24,60.0,85.55,1.035714,high_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,7,2026-03-10 04:00:00,short,0.60588,83.51,60.0,86.54,1.06125,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,8,2026-03-10 05:00:00,short,0.62239,85.82,60.0,86.4,1.015556,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,9,2026-03-10 06:00:00,short,0.6241,83.01,60.0,86.35,0.984,med_high_flat,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='med_high_flat' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,10,2026-03-10 07:00:00,short,0.61342,88.05,60.0,86.7,0.958182,med_med_flat,False,True,False,True,False,0.0,0.6694726876506251,67.1737535268701,0.0,0.017823,0.006,0.75,1.0,62.3277180899558,-1.0841262816829955,-0.1363866453992828,-1,0.011052,TRADE,edge=88.1 meta_conf=0.6134,58,85.82,0.88,TIMEOUT
SOL/USDT,59,2026-03-12 08:00:00,short,0.61291,51.23,60.0,85.96,0.681429,med_med_flat,False,True,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,edge=51.2 < thr=60.0,-1,0.0,0.0,
SOL/USDT,60,2026-03-12 09:00:00,short,0.6208,61.45,60.0,86.18,0.710714,med_med_up,False,True,False,False,False,0.0,-0.08281368135929468,53.91434003141592,0.0,0.012714,0.006,0.75,0.0,50.0,0.0,0.0,-1,0.0,G4_5_MTF,prior(bullish)=0.75<0.6 OR rev(bearish)=0.00<0.5,-1,0.0,0.0,
SOL/USDT,61,2026-03-12 10:00:00,short,0.62092,62.09,60.0,86.76,0.752143,med_med_up,False,True,False,False,False,0.0,0.21362674819658842,52.77079984874106,0.0,0.013577,0.006,1.0,0.0,50.0,0.0,0.0,-1,0.0,G4_5_MTF,prior(bullish)=1.00<0.6 OR rev(bearish)=0.00<0.5,-1,0.0,0.0,
SOL/USDT,62,2026-03-12 11:00:00,short,0.61105,68.06,60.0,86.79,0.754286,med_med_up,False,True,False,True,False,0.0,0.2790573506194675,51.714256098484405,0.0,0.013016,0.006,1.0,0.0,50.0,0.0,0.0,-1,0.0,G4_5_MTF,prior(bullish)=1.00<0.6 OR rev(bearish)=0.00<0.5,-1,0.0,0.0,
SOL/USDT,63,2026-03-12 12:00:00,short,0.6001,69.65,60.0,87.25,0.744286,med_med_up,False,True,False,True,False,0.0,0.5898037495904641,55.89945620117538,0.0,0.012043,0.006,1.0,0.0,50.0,0.0,0.0,-1,0.0,G4_5_MTF,prior(bullish)=1.00<0.6 OR rev(bearish)=0.00<0.5,-1,0.0,0.0,
